source language,target language,translation engine,is preferred engine?
af,nl,Apertium,False
an,ca,Apertium,False
an,es,Apertium,False
ar,mt,Apertium,False
ast,es,Apertium,False
be,ru,Apertium,False
bg,mk,Apertium,False
br,fr,Apertium,False
ca,an,Apertium,False
ca,en,Apertium,False
ca,eo,Apertium,False
ca,es,Apertium,False
ca,fr,Apertium,False
ca,oc,Apertium,False
ca,pt,Apertium,False
ca,simple,Apertium,False
ca,sc,Apertium,False
crh-latn,tr,Apertium,False
cy,en,Apertium,False
cy,simple,Apertium,False
da,nb,Apertium,False
da,nn,Apertium,False
da,sv,Apertium,False
en,ca,Apertium,False
en,eo,Apertium,False
en,es,Apertium,False
en,gl,Apertium,False
en,sh,Apertium,False
eo,en,Apertium,False
eo,simple,Apertium,False
es,an,Apertium,False
es,ast,Apertium,False
es,ca,Apertium,False
es,en,Apertium,False
es,eo,Apertium,False
es,fr,Apertium,False
es,gl,Apertium,False
es,it,Apertium,False
es,oc,Apertium,False
es,pt,Apertium,False
es,simple,Apertium,False
eu,en,Apertium,False
eu,es,Apertium,False
eu,simple,Apertium,False
fr,ca,Apertium,False
fr,eo,Apertium,False
fr,es,Apertium,False
fr,oc,Apertium,False
gl,en,Apertium,False
gl,es,Apertium,False
gl,pt,Apertium,False
gl,simple,Apertium,False
hi,ur,Apertium,False
id,ms,Apertium,False
is,en,Apertium,False
is,simple,Apertium,False
is,sv,Apertium,False
it,ca,Apertium,False
it,es,Apertium,False
it,sc,Apertium,False
kk,tt,Apertium,False
mk,bg,Apertium,False
mk,sr,Apertium,False
ms,id,Apertium,False
mt,ar,Apertium,False
nb,da,Apertium,False
nb,nn,Apertium,False
nb,sv,Apertium,False
nl,af,Apertium,False
nn,da,Apertium,False
nn,nb,Apertium,False
nn,sv,Apertium,False
oc,ca,Apertium,False
oc,es,Apertium,False
pt,ca,Apertium,False
pt,es,Apertium,False
pt,gl,Apertium,False
pl,szl,Apertium,False
ro,es,Apertium,False
ru,be,Apertium,False
ru,uk,Apertium,False
se,nb,Apertium,False
sh,en,Apertium,False
sh,simple,Apertium,False
sh,sl,Apertium,False
simple,ca,Apertium,False
simple,eo,Apertium,False
simple,es,Apertium,False
simple,gl,Apertium,False
simple,sh,Apertium,False
sl,sh,Apertium,False
sl,sr,Apertium,False
sv,da,Apertium,False
sv,is,Apertium,False
sv,nb,Apertium,False
sv,nn,Apertium,False
szl,pl,Apertium,False
tt,kk,Apertium,False
ur,hi,Apertium,False
ca,eu,Elia,False
ca,fr,Elia,False
ca,simple,Elia,False
en,ca,Elia,False
en,es,Elia,False
en,eu,Elia,False
en,fr,Elia,False
en,gl,Elia,False
es,eu,Elia,False
es,fr,Elia,False
es,simple,Elia,False
eu,ca,Elia,False
eu,es,Elia,False
eu,fr,Elia,False
eu,gl,Elia,False
eu,simple,Elia,False
fr,ca,Elia,False
fr,es,Elia,False
fr,eu,Elia,False
fr,gl,Elia,False
fr,simple,Elia,False
gl,eu,Elia,False
gl,fr,Elia,False
gl,simple,Elia,False
simple,ca,Elia,False
simple,es,Elia,False
simple,eu,Elia,False
simple,fr,Elia,False
simple,gl,Elia,False
en,as,Flores,False
en,ast,Flores,False
en,ay,Flores,False
en,ba,Flores,False
en,ckb,Flores,False
en,ha,Flores,False
en,ig,Flores,False
en,ilo,Flores,False
en,is,Flores,False
en,kg,Flores,False
en,ln,Flores,False
en,lg,Flores,False
en,nso,Flores,False
en,oc,Flores,False
en,om,Flores,False
en,ss,Flores,False
en,tn,Flores,False
en,ts,Flores,False
en,wo,Flores,False
en,yue,Flores,False
en,zh,Flores,False
en,zu,Flores,False
ca,oc,Flores,False
es,as,Flores,False
es,ast,Flores,False
es,ay,Flores,False
es,ba,Flores,False
es,ckb,Flores,False
es,ha,Flores,False
es,ig,Flores,False
es,ilo,Flores,False
es,is,Flores,False
es,kg,Flores,False
es,ln,Flores,False
es,lg,Flores,False
es,nso,Flores,False
es,oc,Flores,False
es,om,Flores,False
es,ss,Flores,False
es,ti,Flores,False
es,tn,Flores,False
es,ts,Flores,False
es,yue,Flores,False
es,zh,Flores,False
es,zu,Flores,False
fr,as,Flores,False
fr,ast,Flores,False
fr,ay,Flores,False
fr,ba,Flores,False
fr,ckb,Flores,False
fr,ha,Flores,False
fr,ig,Flores,False
fr,ilo,Flores,False
fr,is,Flores,False
fr,kg,Flores,False
fr,ln,Flores,False
fr,lg,Flores,False
fr,nso,Flores,False
fr,oc,Flores,False
fr,om,Flores,False
fr,ss,Flores,False
fr,ti,Flores,False
fr,tn,Flores,False
fr,ts,Flores,False
fr,wo,Flores,False
fr,yue,Flores,False
fr,zh,Flores,False
fr,zu,Flores,False
pt,oc,Flores,False
ru,ba,Flores,False
zh,yue,Flores,False
en,wuu,LingoCloud,False
en,zh,LingoCloud,False
ja,wuu,LingoCloud,False
ja,zh,LingoCloud,False
simple,wuu,LingoCloud,False
simple,zh,LingoCloud,False
zh,en,LingoCloud,False
zh,ja,LingoCloud,False
zh,simple,LingoCloud,False
zh,wuu,LingoCloud,False
en,as,OpusMT,False
en,bcl,OpusMT,False
en,ts,OpusMT,False
en,qqq,TestClient,False
en,zh,Youdao,False
en,wuu,Youdao,False
es,zh,Youdao,False
es,wuu,Youdao,False
fr,zh,Youdao,False
fr,wuu,Youdao,False
ja,zh,Youdao,False
ja,wuu,Youdao,False
ko,zh,Youdao,False
ko,wuu,Youdao,False
pt,zh,Youdao,False
pt,wuu,Youdao,False
ru,zh,Youdao,False
ru,wuu,Youdao,False
simple,zh,Youdao,False
simple,wuu,Youdao,False
zh,es,Youdao,False
zh,fr,Youdao,False
zh,ja,Youdao,False
zh,ko,Youdao,False
zh,pt,Youdao,False
zh,ru,Youdao,False
zh,simple,Youdao,False
zh,wuu,Youdao,False
