source language,target language,translation engine,is preferred engine?
af,nl,Apertium,False
an,ca,Apertium,False
an,es,Apertium,False
ar,mt,Apertium,False
ast,es,Apertium,False
be,ru,Apertium,False
bg,mk,Apertium,False
br,fr,Apertium,False
ca,an,Apertium,False
ca,en,Apertium,False
ca,eo,Apertium,False
ca,es,Apertium,False
ca,fr,Apertium,False
ca,oc,Apertium,False
ca,pt,Apertium,False
ca,simple,Apertium,False
ca,sc,Apertium,False
crh-latn,tr,Apertium,False
cy,en,Apertium,False
cy,simple,Apertium,False
da,nb,Apertium,False
da,nn,Apertium,False
da,sv,Apertium,False
en,ca,Apertium,False
en,eo,Apertium,False
en,es,Apertium,False
en,gl,Apertium,False
en,sh,Apertium,False
eo,en,Apertium,False
eo,simple,Apertium,False
es,an,Apertium,False
es,ast,Apertium,False
es,ca,Apertium,False
es,en,Apertium,False
es,eo,Apertium,False
es,fr,Apertium,False
es,gl,Apertium,False
es,it,Apertium,False
es,oc,Apertium,False
es,pt,Apertium,False
es,simple,Apertium,False
eu,en,Apertium,False
eu,es,Apertium,False
eu,simple,Apertium,False
fr,ca,Apertium,False
fr,eo,Apertium,False
fr,es,Apertium,False
fr,oc,Apertium,False
gl,en,Apertium,False
gl,es,Apertium,False
gl,pt,Apertium,False
gl,simple,Apertium,False
hi,ur,Apertium,False
id,ms,Apertium,False
is,en,Apertium,False
is,simple,Apertium,False
is,sv,Apertium,False
it,ca,Apertium,False
it,es,Apertium,False
it,sc,Apertium,False
kk,tt,Apertium,False
mk,bg,Apertium,False
mk,sr,Apertium,False
ms,id,Apertium,False
mt,ar,Apertium,False
nb,da,Apertium,False
nb,nn,Apertium,False
nb,sv,Apertium,False
nl,af,Apertium,False
nn,da,Apertium,False
nn,nb,Apertium,False
nn,sv,Apertium,False
oc,ca,Apertium,False
oc,es,Apertium,False
pt,ca,Apertium,False
pt,es,Apertium,False
pt,gl,Apertium,False
pl,szl,Apertium,False
ro,es,Apertium,False
ru,be,Apertium,False
ru,uk,Apertium,False
se,nb,Apertium,False
sh,en,Apertium,False
sh,simple,Apertium,False
sh,sl,Apertium,False
simple,ca,Apertium,False
simple,eo,Apertium,False
simple,es,Apertium,False
simple,gl,Apertium,False
simple,sh,Apertium,False
sl,sh,Apertium,False
sl,sr,Apertium,False
sv,da,Apertium,False
sv,is,Apertium,False
sv,nb,Apertium,False
sv,nn,Apertium,False
szl,pl,Apertium,False
tt,kk,Apertium,False
ur,hi,Apertium,False
ca,eu,Elia,False
ca,fr,Elia,False
ca,simple,Elia,False
en,ca,Elia,False
en,es,Elia,False
en,eu,Elia,False
en,fr,Elia,False
en,gl,Elia,False
es,eu,Elia,False
es,fr,Elia,False
es,simple,Elia,False
eu,ca,Elia,False
eu,es,Elia,False
eu,fr,Elia,False
eu,gl,Elia,False
eu,simple,Elia,False
fr,ca,Elia,False
fr,es,Elia,False
fr,eu,Elia,False
fr,gl,Elia,False
fr,simple,Elia,False
gl,eu,Elia,False
gl,fr,Elia,False
gl,simple,Elia,False
simple,ca,Elia,False
simple,es,Elia,False
simple,eu,Elia,False
simple,fr,Elia,False
simple,gl,Elia,False
en,as,Flores,False
en,ast,Flores,False
en,ay,Flores,False
en,ba,Flores,False
en,ckb,Flores,False
en,ha,Flores,False
en,ig,Flores,False
en,ilo,Flores,False
en,is,Flores,False
en,kg,Flores,False
en,ln,Flores,False
en,lg,Flores,False
en,nso,Flores,False
en,oc,Flores,False
en,om,Flores,False
en,ss,Flores,False
en,tn,Flores,False
en,ts,Flores,False
en,wo,Flores,False
en,yue,Flores,False
en,zh,Flores,False
en,zu,Flores,False
ca,oc,Flores,False
es,as,Flores,False
es,ast,Flores,False
es,ay,Flores,False
es,ba,Flores,False
es,ckb,Flores,False
es,ha,Flores,False
es,ig,Flores,False
es,ilo,Flores,False
es,is,Flores,False
es,kg,Flores,False
es,ln,Flores,False
es,lg,Flores,False
es,nso,Flores,False
es,oc,Flores,False
es,om,Flores,False
es,ss,Flores,False
es,ti,Flores,False
es,tn,Flores,False
es,ts,Flores,False
es,yue,Flores,False
es,zh,Flores,False
es,zu,Flores,False
fr,as,Flores,False
fr,ast,Flores,False
fr,ay,Flores,False
fr,ba,Flores,False
fr,ckb,Flores,False
fr,ha,Flores,False
fr,ig,Flores,False
fr,ilo,Flores,False
fr,is,Flores,False
fr,kg,Flores,False
fr,ln,Flores,False
fr,lg,Flores,False
fr,nso,Flores,False
fr,oc,Flores,False
fr,om,Flores,False
fr,ss,Flores,False
fr,ti,Flores,False
fr,tn,Flores,False
fr,ts,Flores,False
fr,wo,Flores,False
fr,yue,Flores,False
fr,zh,Flores,False
fr,zu,Flores,False
pt,oc,Flores,False
ru,ba,Flores,False
zh,yue,Flores,False
handler,t,Google,False
handler,r,Google,False
handler,a,Google,False
handler,n,Google,False
handler,s,Google,False
handler,f,Google,False
handler,o,Google,False
handler,r,Google,False
handler,m,Google,False
handler,.,Google,False
handler,j,Google,False
handler,s,Google,False
languages,af,Google,False
languages,am,Google,False
languages,ar,Google,False
languages,arz,Google,False
languages,as,Google,False
languages,ay,Google,False
languages,az,Google,False
languages,be,Google,False
languages,be-tarask,Google,False
languages,bg,Google,False
languages,bho,Google,False
languages,bm,Google,False
languages,bn,Google,False
languages,bs,Google,False
languages,ca,Google,False
languages,ceb,Google,False
languages,ckb,Google,False
languages,co,Google,False
languages,cs,Google,False
languages,cy,Google,False
languages,da,Google,False
languages,de,Google,False
languages,dv,Google,False
languages,ee,Google,False
languages,el,Google,False
languages,en,Google,False
languages,eo,Google,False
languages,es,Google,False
languages,et,Google,False
languages,eu,Google,False
languages,fa,Google,False
languages,fi,Google,False
languages,fr,Google,False
languages,fy,Google,False
languages,ga,Google,False
languages,gan,Google,False
languages,gd,Google,False
languages,gl,Google,False
languages,gn,Google,False
languages,gom,Google,False
languages,gu,Google,False
languages,ha,Google,False
languages,haw,Google,False
languages,he,Google,False
languages,hi,Google,False
languages,hr,Google,False
languages,ht,Google,False
languages,hu,Google,False
languages,hy,Google,False
languages,id,Google,False
languages,ig,Google,False
languages,ilo,Google,False
languages,is,Google,False
languages,it,Google,False
languages,ja,Google,False
languages,jv,Google,False
languages,ka,Google,False
languages,kk,Google,False
languages,km,Google,False
languages,kn,Google,False
languages,ko,Google,False
languages,ku,Google,False
languages,ky,Google,False
languages,la,Google,False
languages,lb,Google,False
languages,lg,Google,False
languages,ln,Google,False
languages,lo,Google,False
languages,lt,Google,False
languages,lv,Google,False
languages,mai,Google,False
languages,mg,Google,False
languages,mi,Google,False
languages,mk,Google,False
languages,ml,Google,False
languages,mn,Google,False
languages,mni,Google,False
languages,mr,Google,False
languages,ms,Google,False
languages,mt,Google,False
languages,my,Google,False
languages,ne,Google,False
languages,nl,Google,False
languages,False,Google,False
languages,nso,Google,False
languages,ny,Google,False
languages,om,Google,False
languages,or,Google,False
languages,pa,Google,False
languages,pl,Google,False
languages,ps,Google,False
languages,pt,Google,False
languages,qu,Google,False
languages,ro,Google,False
languages,ru,Google,False
languages,rw,Google,False
languages,sa,Google,False
languages,sd,Google,False
languages,sh,Google,False
languages,si,Google,False
