source language,target language,engine name
af,nl,Apertium
an,ca,Apertium
an,es,Apertium
ar,mt,Apertium
ast,es,Apertium
be,ru,Apertium
bg,mk,Apertium
br,fr,Apertium
ca,an,Apertium
ca,en,Apertium
ca,eo,Apertium
ca,es,Apertium
ca,fr,Apertium
ca,oc,Apertium
ca,pt,Apertium
ca,simple,Apertium
ca,sc,Apertium
crh-latn,tr,Apertium
cy,en,Apertium
cy,simple,Apertium
da,nb,Apertium
da,nn,Apertium
da,sv,Apertium
en,ca,Apertium
en,eo,Apertium
en,es,Apertium
en,gl,Apertium
en,sh,Apertium
eo,en,Apertium
eo,simple,Apertium
es,an,Apertium
es,ast,Apertium
es,ca,Apertium
es,en,Apertium
es,eo,Apertium
es,fr,Apertium
es,gl,Apertium
es,it,Apertium
es,oc,Apertium
es,pt,Apertium
es,simple,Apertium
eu,en,Apertium
eu,es,Apertium
eu,simple,Apertium
fr,ca,Apertium
fr,eo,Apertium
fr,es,Apertium
fr,oc,Apertium
gl,en,Apertium
gl,es,Apertium
gl,pt,Apertium
gl,simple,Apertium
hi,ur,Apertium
id,ms,Apertium
is,en,Apertium
is,simple,Apertium
is,sv,Apertium
it,ca,Apertium
it,es,Apertium
it,sc,Apertium
kk,tt,Apertium
mk,bg,Apertium
mk,sr,Apertium
ms,id,Apertium
mt,ar,Apertium
nb,da,Apertium
nb,nn,Apertium
nb,sv,Apertium
nl,af,Apertium
nn,da,Apertium
nn,nb,Apertium
nn,sv,Apertium
oc,ca,Apertium
oc,es,Apertium
pt,ca,Apertium
pt,es,Apertium
pt,gl,Apertium
pl,szl,Apertium
ro,es,Apertium
ru,be,Apertium
ru,uk,Apertium
se,nb,Apertium
sh,en,Apertium
sh,simple,Apertium
sh,sl,Apertium
simple,ca,Apertium
simple,eo,Apertium
simple,es,Apertium
simple,gl,Apertium
simple,sh,Apertium
sl,sh,Apertium
sl,sr,Apertium
sv,da,Apertium
sv,is,Apertium
sv,nb,Apertium
sv,nn,Apertium
szl,pl,Apertium
tt,kk,Apertium
ur,hi,Apertium
ca,eu,Elia
ca,fr,Elia
ca,simple,Elia
en,ca,Elia
en,es,Elia
en,eu,Elia
en,fr,Elia
en,gl,Elia
es,eu,Elia
es,fr,Elia
es,simple,Elia
eu,ca,Elia
eu,es,Elia
eu,fr,Elia
eu,gl,Elia
eu,simple,Elia
fr,ca,Elia
fr,es,Elia
fr,eu,Elia
fr,gl,Elia
fr,simple,Elia
gl,eu,Elia
gl,fr,Elia
gl,simple,Elia
simple,ca,Elia
simple,es,Elia
simple,eu,Elia
simple,fr,Elia
simple,gl,Elia
en,as,Flores
en,ast,Flores
en,ay,Flores
en,ba,Flores
en,ckb,Flores
en,ha,Flores
en,ig,Flores
en,ilo,Flores
en,is,Flores
en,kg,Flores
en,ln,Flores
en,lg,Flores
en,nso,Flores
en,oc,Flores
en,om,Flores
en,ss,Flores
en,tn,Flores
en,ts,Flores
en,wo,Flores
en,yue,Flores
en,zh,Flores
en,zu,Flores
ca,oc,Flores
es,as,Flores
es,ast,Flores
es,ay,Flores
es,ba,Flores
es,ckb,Flores
es,ha,Flores
es,ig,Flores
es,ilo,Flores
es,is,Flores
es,kg,Flores
es,ln,Flores
es,lg,Flores
es,nso,Flores
es,oc,Flores
es,om,Flores
es,ss,Flores
es,ti,Flores
es,tn,Flores
es,ts,Flores
es,yue,Flores
es,zh,Flores
es,zu,Flores
fr,as,Flores
fr,ast,Flores
fr,ay,Flores
fr,ba,Flores
fr,ckb,Flores
fr,ha,Flores
fr,ig,Flores
